,League,Year,Season,Type,BlueTeamTag,BResult,RResult,RedTeamTag,Gamelength,Side,Result
0,NALCS,2015,Spring,Season,TSM,1,0,C9,40,Blue,1
1,NALCS,2015,Spring,Season,CST,0,1,DIG,38,Red,0
2,NALCS,2015,Spring,Season,WFX,1,0,GV,40,Blue,1
3,NALCS,2015,Spring,Season,TIP,0,1,TL,41,Red,0
4,NALCS,2015,Spring,Season,CLG,1,0,T8,35,Blue,1
5,NALCS,2015,Spring,Season,DIG,0,1,TIP,24,Red,0
6,NALCS,2015,Spring,Season,CST,1,0,WFX,39,Blue,1
7,NALCS,2015,Spring,Season,TL,1,0,CLG,43,Blue,1
8,NALCS,2015,Spring,Season,C9,0,1,GV,41,Red,0
9,NALCS,2015,Spring,Season,T8,1,0,TSM,32,Blue,1
10,NALCS,2015,Spring,Season,GV,1,0,DIG,52,Blue,1
11,NALCS,2015,Spring,Season,T8,1,0,CST,46,Blue,1
12,NALCS,2015,Spring,Season,C9,1,0,TL,38,Blue,1
13,NALCS,2015,Spring,Season,TIP,0,1,CLG,31,Red,0
14,NALCS,2015,Spring,Season,TSM,1,0,WFX,33,Blue,1
15,NALCS,2015,Spring,Season,CLG,1,0,C9,38,Blue,1
16,NALCS,2015,Spring,Season,DIG,0,1,WFX,40,Red,0
17,NALCS,2015,Spring,Season,TSM,1,0,TL,39,Blue,1
18,NALCS,2015,Spring,Season,TIP,1,0,T8,40,Blue,1
19,NALCS,2015,Spring,Season,CST,0,1,GV,39,Red,0
20,NALCS,2015,Spring,Season,GV,0,1,TIP,49,Red,0
21,NALCS,2015,Spring,Season,C9,1,0,T8,35,Blue,1
22,NALCS,2015,Spring,Season,DIG,0,1,TSM,36,Red,0
23,NALCS,2015,Spring,Season,TL,1,0,CST,43,Blue,1
24,NALCS,2015,Spring,Season,WFX,0,1,CLG,32,Red,0
25,NALCS,2015,Spring,Season,C9,1,0,CST,31,Blue,1
26,NALCS,2015,Spring,Season,CLG,1,0,GV,36,Blue,1
27,NALCS,2015,Spring,Season,TL,0,1,DIG,41,Red,0
28,NALCS,2015,Spring,Season,T8,1,0,WFX,31,Blue,1
29,NALCS,2015,Spring,Season,TSM,1,0,TIP,30,Blue,1
30,NALCS,2015,Spring,Season,CST,0,1,CLG,45,Red,0
31,NALCS,2015,Spring,Season,WFX,1,0,TIP,42,Blue,1
32,NALCS,2015,Spring,Season,DIG,0,1,C9,27,Red,0
33,NALCS,2015,Spring,Season,T8,0,1,TL,35,Red,0
34,NALCS,2015,Spring,Season,GV,0,1,TSM,43,Red,0
35,NALCS,2015,Spring,Season,WFX,1,0,C9,37,Blue,1
36,NALCS,2015,Spring,Season,TIP,1,0,CST,40,Blue,1
37,NALCS,2015,Spring,Season,CLG,0,1,TSM,46,Red,0
38,NALCS,2015,Spring,Season,GV,1,0,TL,48,Blue,1
39,NALCS,2015,Spring,Season,DIG,1,0,T8,39,Blue,1
40,NALCS,2015,Spring,Season,TL,0,1,WFX,40,Red,0
41,NALCS,2015,Spring,Season,T8,0,1,GV,49,Red,0
42,NALCS,2015,Spring,Season,C9,1,0,TIP,37,Blue,1
43,NALCS,2015,Spring,Season,DIG,0,1,CLG,35,Red,0
44,NALCS,2015,Spring,Season,TSM,1,0,CST,24,Blue,1
45,NALCS,2015,Spring,Season,C9,1,0,CLG,44,Blue,1
46,NALCS,2015,Spring,Season,TL,1,0,TSM,54,Blue,1
47,NALCS,2015,Spring,Season,WFX,0,1,DIG,47,Red,0
48,NALCS,2015,Spring,Season,CST,0,1,T8,33,Red,0
49,NALCS,2015,Spring,Season,TIP,1,0,GV,30,Blue,1
50,NALCS,2015,Spring,Season,CST,0,1,C9,34,Red,0
51,NALCS,2015,Spring,Season,T8,1,0,TIP,49,Blue,1
52,NALCS,2015,Spring,Season,TL,1,0,GV,29,Blue,1
53,NALCS,2015,Spring,Season,TSM,1,0,DIG,33,Blue,1
54,NALCS,2015,Spring,Season,CLG,1,0,WFX,29,Blue,1
55,NALCS,2015,Spring,Season,GV,1,0,CST,33,Blue,1
56,NALCS,2015,Spring,Season,C9,1,0,WFX,30,Blue,1
57,NALCS,2015,Spring,Season,TIP,1,0,TSM,42,Blue,1
58,NALCS,2015,Spring,Season,CLG,0,1,TL,55,Red,0
59,NALCS,2015,Spring,Season,T8,1,0,DIG,38,Blue,1
60,NALCS,2015,Spring,Season,DIG,1,0,CST,51,Blue,1
61,NALCS,2015,Spring,Season,GV,0,1,CLG,36,Red,0
62,NALCS,2015,Spring,Season,WFX,0,1,TSM,46,Red,0
63,NALCS,2015,Spring,Season,TIP,1,0,C9,40,Blue,1
64,NALCS,2015,Spring,Season,TL,0,1,T8,46,Red,0
65,NALCS,2015,Spring,Season,C9,1,0,DIG,46,Blue,1
66,NALCS,2015,Spring,Season,TSM,1,0,T8,37,Blue,1
67,NALCS,2015,Spring,Season,TL,0,1,TIP,29,Red,0
68,NALCS,2015,Spring,Season,GV,1,0,WFX,45,Blue,1
69,NALCS,2015,Spring,Season,CLG,1,0,CST,31,Blue,1
70,NALCS,2015,Spring,Season,CST,0,1,TIP,31,Red,0
71,NALCS,2015,Spring,Season,TL,0,1,C9,33,Red,0
72,NALCS,2015,Spring,Season,TSM,0,1,GV,37,Red,0
73,NALCS,2015,Spring,Season,CLG,1,0,DIG,38,Blue,1
74,NALCS,2015,Spring,Season,WFX,0,1,T8,45,Red,0
