,blueTeamTag,wins_x,redTeamTag,wins_y,Tag,Wins
0,100,3.0,100,1.0,100,4.0
1,17A,4.0,17A,5.0,17A,9.0
2,7h,35.0,7h,39.0,7h,74.0
3,A,17.0,A,16.0,A,33.0
4,AE,38.0,AE,37.0,AE,75.0
5,AF,4.0,AF,6.0,AF,10.0
6,AFR,2.0,AFR,3.0,AFR,5.0
7,AFs,111.0,AFs,109.0,AFs,220.0
8,AHQ,31.0,AHQ,30.0,AHQ,61.0
9,ALL,3.0,ALL,3.0,ALL,6.0
10,ANC,26.0,ANC,24.0,ANC,50.0
11,ANX,19.0,ANX,13.0,ANX,32.0
12,APX,28.0,APX,25.0,APX,53.0
13,AS,13.0,AS,14.0,AS,27.0
14,ASC,4.0,ASC,2.0,ASC,6.0
15,AUR,67.0,AUR,63.0,AUR,130.0
16,AV,59.0,AV,60.0,AV,119.0
17,B2K,12.0,B2K,12.0,B2K,24.0
18,BC,9.0,BC,14.0,BC,23.0
19,BE,10.0,BE,11.0,BE,21.0
20,BGG,7.0,BGG,9.0,BGG,16.0
21,BJK,54.0,BJK,52.0,BJK,106.0
22,BKT,3.0,BKT,3.0,BKT,6.0
23,BMR,2.0,BMR,2.0,BMR,4.0
24,BPI,7.0,BPI,7.0,BPI,14.0
25,C9,153.0,C9,152.0,C9,305.0
26,C9C,1.0,C9C,2.0,C9C,3.0
27,CA,7.0,CA,7.0,CA,14.0
28,CF,1.0,CF,1.0,CF,2.0
29,CG,3.0,CG,3.0,CG,6.0
30,CGE,16.0,CGE,15.0,CGE,31.0
31,CHF,67.0,CHF,64.0,CHF,131.0
32,CJ,23.0,CJ,26.0,CJ,49.0
33,CJE,80.0,CJE,79.0,CJE,159.0
34,CLB,1.0,CLB,1.0,CLB,2.0
35,CLG,154.0,CLG,141.0,CLG,295.0
36,CLK,35.0,CLK,35.0,CLK,70.0
37,CNB,34.0,CNB,36.0,CNB,70.0
38,COL,3.0,COL,2.0,COL,5.0
39,COW,3.0,COW,2.0,COW,5.0
40,CREW,7.0,CREW,7.0,CREW,14.0
41,CRJ,11.0,CRJ,11.0,CRJ,22.0
42,CRW,58.0,CRW,53.0,CRW,111.0
43,CST,20.0,CST,20.0,CST,40.0
44,CW,24.0,CW,23.0,CW,47.0
45,Crew,1.0,Crew,1.0,Crew,2.0
46,D9,28.0,D9,29.0,D9,57.0
47,DD,2.0,DD,2.0,DD,4.0
48,DF,7.0,DF,7.0,DF,14.0
49,DFM,39.0,DFM,40.0,DFM,79.0
50,DH,2.0,,,,2.0
51,DIG,91.0,DIG,89.0,DIG,180.0
52,DLY,1.0,DLY,1.0,DLY,2.0
53,DP,80.0,DP,93.0,DP,173.0
54,DW,64.0,DW,60.0,DW,124.0
55,DoR,6.0,DoR,5.0,DoR,11.0
56,EDG,25.0,EDG,30.0,EDG,55.0
57,EEW,29.0,EEW,26.0,EEW,55.0
58,EG,2.0,EG,1.0,EG,3.0
59,EL,27.0,EL,27.0,EL,54.0
60,EMF,8.0,EMF,10.0,EMF,18.0
61,EMP,19.0,EMP,16.0,EMP,35.0
62,ESC,37.0,ESC,32.0,ESC,69.0
63,EUN,6.0,EUN,11.0,EUN,17.0
64,EVR,2.0,EVR,2.0,EVR,4.0
65,F5,7.0,F5,6.0,F5,13.0
66,FAC,5.0,FAC,7.0,FAC,12.0
67,FB,79.0,FB,71.0,FB,150.0
